Player_Record_ID,Match_ID,Player_ID,Player_Name,Team,Position,Age,Minutes_Played,Goals,Assists,Pass_Accuracy,Tackles,Interceptions,Saves,Rating
PR1,M001,P1,Player_1,Qatar,DF,34,87,0,0,74,4,2,0,8.3
PR2,M001,P2,Player_2,Qatar,MF,36,112,0,0,59,5,0,0,7.5
PR3,M001,P3,Player_3,Qatar,DF,28,40,1,0,91,6,1,0,7.6
PR4,M001,P4,Player_4,Qatar,FW,26,72,0,0,74,5,6,0,4.8
PR5,M001,P5,Player_5,Qatar,MF,40,88,0,1,83,1,5,0,8.0
PR6,M001,P6,Player_6,Qatar,MF,17,47,0,0,69,2,1,0,6.1
PR7,M001,P7,Player_7,Qatar,MF,23,29,0,0,58,2,0,0,5.8
PR8,M001,P8,Player_8,Qatar,MF,33,99,1,0,84,8,0,0,8.0
PR9,M001,P9,Player_9,Qatar,FW,36,17,0,0,88,6,1,0,5.0
PR10,M001,P10,Player_10,Qatar,FW,36,104,1,0,60,7,0,0,6.5
PR11,M001,P11,Player_11,Qatar,MF,24,57,1,0,89,4,6,0,8.5
PR12,M001,P12,Player_12,Qatar,DF,34,31,0,0,69,7,6,0,5.2
PR13,M001,P13,Player_13,Qatar,MF,35,57,0,0,79,4,6,0,6.3
PR14,M001,P14,Player_14,Qatar,MF,22,105,0,0,62,2,6,0,5.5
PR15,M001,P15,Player_15,Qatar,MF,28,71,0,0,56,8,6,0,4.7
PR16,M001,P16,Player_16,Qatar,GK,22,35,0,1,78,8,1,6,4.6
PR17,M001,P17,Player_17,Italy,FW,31,114,0,1,72,0,3,0,4.3
PR18,M001,P18,Player_18,Italy,MF,24,50,1,0,55,5,1,0,4.2
PR19,M001,P19,Player_19,Italy,FW,39,84,0,0,71,2,1,0,4.2
PR20,M001,P20,Player_20,Italy,FW,32,90,0,0,58,7,3,0,7.7
PR21,M001,P21,Player_21,Italy,FW,17,33,0,0,63,2,4,0,9.6
PR22,M001,P22,Player_22,Italy,MF,30,15,0,0,68,3,2,0,4.7
PR23,M001,P23,Player_23,Italy,DF,37,102,0,0,89,7,0,0,4.7
PR24,M001,P24,Player_24,Italy,FW,36,69,0,0,51,8,4,0,5.5
PR25,M001,P25,Player_25,Italy,DF,30,1,0,0,89,5,1,0,7.4
PR26,M001,P26,Player_26,Italy,DF,38,11,0,1,83,5,0,0,9.7
PR27,M001,P27,Player_27,Italy,MF,33,71,0,0,51,6,6,0,6.8
